2004 Subaru Impreza RS S Manual AWD MY04,Manual,"

$2250*
","330,000 km",Sedan,4cyl 2.5L Petrol,QLD,https://www.carsales.com.au//cars/details/2004-subaru-impreza-rs-s-manual-awd-my04/SSE-AD-15179255/?Cr=0
1994 Subaru Impreza LX N Auto,Automatic,"

$3000*
","221,000 km",Sedan,4cyl 1.6L Petrol,QLD,https://www.carsales.com.au//cars/details/1994-subaru-impreza-lx-n-auto/SSE-AD-13862144/?Cr=1
1999 Subaru Impreza RX N Manual AWD MY99,Manual,"

$3960*
","315,033 km",Sedan,4cyl 2.0L Petrol,ACT,https://www.carsales.com.au//cars/details/1999-subaru-impreza-rx-n-manual-awd-my99/SSE-AD-15172593/?Cr=2
2003 Subaru Impreza RV S Manual AWD MY03,Manual,"

$4000*
","249,000 km",Hatch,4cyl 2.0L Petrol,VIC,https://www.carsales.com.au//cars/details/2003-subaru-impreza-rv-s-manual-awd-my03/SSE-AD-13530636/?Cr=3
2004 Subaru Impreza RS S Manual AWD MY05,Manual,"

$4000*
","232,796 km",Sedan,4cyl 2.5L Petrol,VIC,https://www.carsales.com.au//cars/details/2004-subaru-impreza-rs-s-manual-awd-my05/SSE-AD-13700912/?Cr=4
2006 Subaru Impreza R S Manual AWD MY06,Manual,"

$4500*
","218,000 km",Sedan,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2006-subaru-impreza-r-s-manual-awd-my06/SSE-AD-13836517/?Cr=5
2006 Subaru Impreza R S Manual AWD MY06,Manual,"

$4500*
","228,000 km",Hatch,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2006-subaru-impreza-r-s-manual-awd-my06/SSE-AD-15187762/?Cr=6
2007 Subaru Impreza RV S Manual AWD MY07,Manual,"

$5000*
","248,000 km",Hatch,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2007-subaru-impreza-rv-s-manual-awd-my07/SSE-AD-12550347/?Cr=7
1999 Subaru Impreza RX N Manual AWD MY99,Manual,"

$5000*
","377,000 km",Sedan,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/1999-subaru-impreza-rx-n-manual-awd-my99/SSE-AD-15112739/?Cr=8
2005 Subaru Impreza RS S Auto AWD MY05,Automatic,"

$5000*
","179,000 km",Hatch,4cyl 2.5L Petrol,NSW,https://www.carsales.com.au//cars/details/2005-subaru-impreza-rs-s-auto-awd-my05/SSE-AD-15110232/?Cr=9
2007 Subaru Impreza S Auto AWD MY07,Automatic,"

$5000*
","195,600 km",Hatch,4cyl 2.0L Petrol,VIC,https://www.carsales.com.au//cars/details/2007-subaru-impreza-s-auto-awd-my07/SSE-AD-15190786/?Cr=10
2013 Subaru Impreza 2.0i G4 Manual AWD MY13,Manual,"

$5000*
","275,000 km",Hatch,4cyl 2.0L Petrol,VIC,https://www.carsales.com.au//cars/details/2013-subaru-impreza-2-0i-g4-manual-awd-my13/SSE-AD-14119796/?Cr=11
2004 Subaru Impreza GX S Manual AWD MY04,Manual,"

$5250*
","303,401 km",Hatch,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2004-subaru-impreza-gx-s-manual-awd-my04/SSE-AD-15154466/?Cr=12
2011 Subaru Impreza 2.0i-L G4 Manual AWD MY12,Manual,"

$5500*
","347,000 km",Sedan,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2011-subaru-impreza-2-0i-l-g4-manual-awd-my12/SSE-AD-13867340/?Cr=13
2009 Subaru Impreza RS G3 Manual AWD MY09,Manual,"

$5500*
","130,723 km",Sedan,4cyl 2.0L Petrol,TAS,https://www.carsales.com.au//cars/details/2009-subaru-impreza-rs-g3-manual-awd-my09/SSE-AD-15084990/?Cr=14
2009 Subaru Impreza R G3 Manual AWD MY09,Manual,"

$5500*
","264,832 km",Hatch,4cyl 2.0L Petrol,QLD,https://www.carsales.com.au//cars/details/2009-subaru-impreza-r-g3-manual-awd-my09/SSE-AD-15188046/?Cr=15
2006 Subaru Impreza R S Manual AWD MY06,Manual,"

$5500*
","333,788 km",Hatch,4cyl 2.0L Petrol,QLD,https://www.carsales.com.au//cars/details/2006-subaru-impreza-r-s-manual-awd-my06/SSE-AD-13946425/?Cr=16
2006 Subaru Impreza RV S Manual AWD MY06,Manual,"

$5500*
","261,000 km",Hatch,4cyl 2.0L Petrol,SA,https://www.carsales.com.au//cars/details/2006-subaru-impreza-rv-s-manual-awd-my06/SSE-AD-13932242/?Cr=17
2008 Subaru Impreza RS G3 Manual AWD MY08,Manual,"

$5500*
","289,474 km",Hatch,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2008-subaru-impreza-rs-g3-manual-awd-my08/SSE-AD-15099555/?Cr=18
2004 Subaru Impreza RV S Manual AWD MY04,Manual,"

$5900*
","230,000 km",Hatch,4cyl 2.0L Petrol,SA,https://www.carsales.com.au//cars/details/2004-subaru-impreza-rv-s-manual-awd-my04/SSE-AD-15109273/?Cr=19
2007 Subaru Impreza S Manual AWD MY07,Manual,"

$5900*
","235,000 km",Hatch,4cyl 2.0L Petrol,NSW,https://www.carsales.com.au//cars/details/2007-subaru-impreza-s-manual-awd-my07/SSE-AD-14431651/?Cr=20
2006 Subaru Impreza S Manual AWD MY06,Manual,"

$5990*
","328,298 km",Hatch,4cyl 2.0L Petrol,TAS,https://www.carsales.com.au//cars/details/2006-subaru-impreza-s-manual-awd-my06/OAG-AD-22008769/?Cr=21
